Expected Years of Schooling,avg_temp,Marriage,avg_income,Divorce,HDI Rank (2021),avg_temp_c,education_expenditure,IQ,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
16.83856964,24.939486947249716,5.8,7446.567417507158,0.7,23.0,19.52784090909091,409.7462800450428,88.29712891336501,1,0
13.05787868,24.939486947249716,3.7,7446.567417507158,1.0,61.0,5.653297165789233,409.7462800450428,88.29712891336501,1,0
16.0271492,13.4,5.1,10505.0,1.7,34.0,9.431978588739634,545.0,96.0,1,0
12.64135783,24.939486947249716,4.5,7446.567417507158,0.8,126.0,28.45344624404301,409.7462800450428,88.29712891336501,1,0
16.20252991,24.939486947249716,6.8,7446.567417507158,3.1,39.0,7.994621790423317,409.7462800450428,88.29712891336501,1,0
16.29755974,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,35.0,28.25940063091483,409.7462800450428,88.29712891336501,1,0
10.56245041,32.1,3.8,2830.0,1.2,135.0,5.653297165789233,92.0,55.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
15.76500034,13.5,7.3,6380.0,2.5,56.0,6.729476834276542,225.0,89.0,1,0
14.40009022,18.3,5.2,4876.0,1.4,63.0,13.567229409908489,208.0,89.0,1,0
15.64826965,24.939486947249716,6.8,7446.567417507158,2.2,29.0,20.863521615651624,409.7462800450428,88.29712891336501,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.22162588,19.2,4.8,40964.0,1.7,19.0,15.775102495976473,1340.0,106.0,1,0
15.11209965,18.1,4.9,11642.0,1.5,40.0,15.967402966235404,505.0,95.0,1,0
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
15.59906006,30.6,6.6,7586.0,1.4,87.0,23.03395282104025,427.0,83.0,0,1
